tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1913.00;2_3_0;400.00;4.95;587.00;0.00;8_7_0;5.10;0.00;tripinfo_587;1326.00;587;0;1294.90;0.77;0.00;1204.88;DEFAULT_VEHTYPE;;16;1086.00
1914.00;3_2_0;400.00;5.71;1345.00;981.00;3_2_0;5.10;0.00;tripinfo_364;569.00;364;0;394.90;0.99;0.00;540.05;DEFAULT_VEHTYPE;;8;492.00
1914.00;2_3_2;400.00;6.46;944.00;0.00;1_2_0;5.10;0.00;tripinfo_944;970.00;944;0;694.90;0.98;0.00;918.42;DEFAULT_VEHTYPE;;22;709.00
1916.00;3_2_0;400.00;7.63;1350.00;939.00;3_2_0;5.10;0.00;tripinfo_411;566.00;411;0;394.90;1.13;0.00;540.75;DEFAULT_VEHTYPE;;8;488.00
1919.00;7_3_0;200.00;5.61;1448.00;0.00;8_7_0;5.10;0.00;tripinfo_1448;471.00;1448;0;494.90;1.22;0.00;441.76;DEFAULT_VEHTYPE;;2;421.00
1920.00;3_4_1;300.00;17.31;1244.00;0.00;2_3_0;5.10;0.00;tripinfo_1244;676.00;1244;0;694.90;1.26;0.00;635.55;DEFAULT_VEHTYPE;;14;470.00
1920.00;6_5_0;300.00;15.62;1705.00;0.00;1_2_0;5.10;0.00;tripinfo_1705;215.00;1705;0;794.90;1.18;0.00;165.83;DEFAULT_VEHTYPE;;4;131.00
1922.00;6_7_0;400.00;14.57;1869.00;0.00;5_6_0;5.10;0.00;tripinfo_1869;53.00;1869;0;694.90;1.07;0.00;5.45;DEFAULT_VEHTYPE;;0;0.00
1925.00;2_3_2;400.00;5.09;1254.00;0.00;5_6_0;5.10;0.00;tripinfo_1254;671.00;1254;0;894.90;1.05;0.00;609.51;DEFAULT_VEHTYPE;;16;417.00
1927.00;6_7_0;400.00;13.46;579.00;0.00;1_2_0;5.10;0.00;tripinfo_579;1348.00;579;0;894.90;0.99;0.00;1282.37;DEFAULT_VEHTYPE;;18;1116.00
1928.00;7_8_0;300.00;15.26;1853.00;0.00;5_6_0;5.10;0.00;tripinfo_1853;75.00;1853;0;994.90;1.13;0.00;11.16;DEFAULT_VEHTYPE;;0;0.00
1935.00;2_1_0;300.00;13.48;1342.00;999.00;3_2_0;5.10;0.00;tripinfo_343;593.00;343;0;694.90;0.98;0.00;541.96;DEFAULT_VEHTYPE;;7;495.00
